Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,X,Y,Xcoord,Ycoord
H,,,,,,"-1","0","-1",,,,,88.4463066196556,24.4849018676713
H,,,,,,"-1","0","-1",,,,,88.4636952686628,24.585294379775
A,,,,,,"-1","0","-1",,,,,88.6329118235383,24.5427490026812
G,,,,,,"-1","0","-1",,,,,88.5995626406313,24.4083507997905
H,,,,,,"-1","0","-1",,,,,88.7148563714927,24.4852925122409
H,,,,,,"-1","0","-1",,,,,88.6943518951572,24.3356284460117
H,,,,,,"-1","0","-1",,,,,88.8564563886611,24.4182377777526
H,,,,,,"-1","0","-1",,,,,88.4822749067499,24.3747617172968
A,,,,,,"-1","0","-1",,,,,89.0964087104766,24.3790216660742
A,,,,,,"-1","0","-1",,,,,88.5323887105457,24.7013078229604
A,,,,,,"-1","0","-1",,,,,89.0081841794963,24.4552460496285
H,,,,,,"-1","0","-1",,,,,89.1986015471213,24.5056617081877
A,,,,,,"-1","0","-1",,,,,88.8481100836498,24.5325174883109
F,,,,,,"-1","0","-1",,,,,88.6550234863623,24.6496105446443
H,,,,,,"-1","0","-1",,,,,88.8051253974351,24.6250401842121
G,,,,,,"-1","0","-1",,,,,89.0087884421673,24.6045282427695
A,,,,,,"-1","0","-1",,,,,89.1313817567898,24.6384292247511
W,,,,,,"-1","0","-1",,,,,89.5034145124621,24.5582499215644
S,,,,,,"-1","0","-1",,,,,89.7129608164741,24.5517949122291
W,,,,,,"-1","0","-1",,,,,89.6816703552399,24.1075908319609
G,,,,,,"-1","0","-1",,,,,89.5485592914833,23.1312170541575
G,,,,,,"-1","0","-1",,,,,90.2615767313271,23.1055842308401
G,,,,,,"-1","0","-1",,,,,90.3505978789182,22.9935564987829
A,,,,,,"-1","0","-1",,,,,88.630360094068,24.7970860905008
G,,,,,,"-1","0","-1",,,,,88.7971142578311,24.7859356407036
W,,,,,,"-1","0","-1",,,,,88.9203536881414,24.6934638097987
H,,,,,,"-1","0","-1",,,,,89.0342112912521,24.7395074955029
A,,,,,,"-1","0","-1",,,,,89.2412579393276,24.7230883080764
H,,,,,,"-1","0","-1",,,,,89.4272781119592,24.6574052302176
G,,,,,,"-1","0","-1",,,,,89.6166976965054,24.6661519026319
A,,,,,,"-1","0","-1",,,,,89.8250400505368,24.6390679669793
S,,,,,,"-1","0","-1",,,,,89.7381259630136,24.7338244117816
H,,,,,,"-1","0","-1",,,,,89.9238344018463,24.7300619264018
A,,,,,,"-1","0","-1",,,,,89.8494988284868,24.8246153844275
H,,,,,,"-1","0","-1",,,,,88.8877795087029,24.8813439812007
H,,,,,,"-1","0","-1",,,,,89.0325307051006,24.9060658461753
A,,,,,,"-1","0","-1",,,,,89.176250611349,24.8288950459242
G,,,,,,"-1","0","-1",,,,,89.3235245665955,24.9184810255723
W,,,,,,"-1","0","-1",,,,,89.3908890211283,24.8011432925341
S,,,,,,"-1","0","-1",,,,,89.5116491717453,24.7575713771535
W,,,,,,"-1","0","-1",,,,,89.5796162826111,24.8380748920861
G,,,,,,"-1","0","-1",,,,,89.5428991175682,24.9376452683601
G,,,,,,"-1","0","-1",,,,,89.4752734064454,24.9930476690715
F,,,,,,"-1","0","-1",,,,,88.9776741702817,24.9976573280547
F,,,,,,"-1","0","-1",,,,,89.1742383083526,24.9717274605746
W,,,,,,"-1","0","-1",,,,,89.0890350478451,25.065303648748
A,,,,,,"-1","0","-1",,,,,89.325843012916,25.0413954423908
F,,,,,,"-1","0","-1",,,,,89.4276754234002,25.1001492442304
F,,,,,,"-1","0","-1",,,,,89.5638815387924,25.1034095532992
H,,,,,,"-1","0","-1",,,,,89.6593330610994,25.0092304916447
F,,,,,,"-1","0","-1",,,,,89.2229406933186,25.1400138898556
A,,,,,,"-1","0","-1",,,,,89.0822130054311,25.2200178121071
R,,,,,,"-1","0","-1",,,,,88.9926454039662,25.2904386346462
A,,,,,,"-1","0","-1",,,,,89.1919971639327,25.264149455935
F,,,,,,"-1","0","-1",,,,,89.388624294751,25.2028384236323
G,,,,,,"-1","0","-1",,,,,89.5676394035741,25.1880602119712
H,,,,,,"-1","0","-1",,,,,89.4955833337357,25.268917087359
H,,,,,,"-1","0","-1",,,,,88.199650538079,26.0890069094571
A,,,,,,"-1","0","-1",,,,,88.1868505293744,25.9599518193067
H,,,,,,"-1","0","-1",,,,,88.1269616569686,25.8145859855159
G,,,,,,"-1","0","-1",,,,,88.238595797957,25.8386988610078
F,,,,,,"-1","0","-1",,,,,88.3538286377176,25.912165689131
G,,,,,,"-1","0","-1",,,,,88.3239535525866,25.9911322849616
S,,,,,,"-1","0","-1",,,,,88.4464537959448,26.0024000940407
H,,,,,,"-1","0","-1",,,,,88.3944278326098,26.0965415620915
H,,,,,,"-1","0","-1",,,,,88.3039170316928,26.1546588027297
G,,,,,,"-1","0","-1",,,,,88.4275196949651,26.2102234656624
A,,,,,,"-1","0","-1",,,,,88.5644772556137,26.1152721110655
W,,,,,,"-1","0","-1",,,,,88.628156961868,25.9672107618831
H,,,,,,"-1","0","-1",,,,,88.5871494691902,26.2170847359375
G,,,,,,"-1","0","-1",,,,,88.500002963779,26.3035725087979
A,,,,,,"-1","0","-1",,,,,88.3947195259872,26.3106101326446
S,,,,,,"-1","0","-1",,,,,88.6493672324342,26.3254442417427
S,,,,,,"-1","0","-1",,,,,88.5081568786363,26.4079839726676
G,,,,,,"-1","0","-1",,,,,88.4388518207314,26.5040640078663
A,,,,,,"-1","0","-1",,,,,88.6233355275991,26.4456652814908
G,,,,,,"-1","0","-1",,,,,88.3425333193558,25.7979668036615
A,,,,,,"-1","0","-1",,,,,88.5281473847061,25.8443932424254
G,,,,,,"-1","0","-1",,,,,88.5034879118732,25.6996697935374
S,,,,,,"-1","0","-1",,,,,88.6072173244073,25.7660572418567
S,,,,,,"-1","0","-1",,,,,88.7014637822952,25.880583818767
F,,,,,,"-1","0","-1",,,,,88.5622185463129,25.5415132669481
A,,,,,,"-1","0","-1",,,,,88.757157210498,25.5032083969224
H,,,,,,"-1","0","-1",,,,,88.6813484044883,25.5515896416827
G,,,,,,"-1","0","-1",,,,,88.8899093354538,25.5880620734965
H,,,,,,"-1","0","-1",,,,,88.7827874394428,25.6592625388941
A,,,,,,"-1","0","-1",,,,,88.6485312495952,25.6847105097216
H,,,,,,"-1","0","-1",,,,,88.7768054814732,25.7902162861796
G,,,,,,"-1","0","-1",,,,,88.9585038268755,25.6938073979336
G,,,,,,"-1","0","-1",,,,,88.928976002648,25.8376992896244
H,,,,,,"-1","0","-1",,,,,88.8459131110837,25.9326865895525
H,,,,,,"-1","0","-1",,,,,88.783263061271,26.0189220378541
S,,,,,,"-1","0","-1",,,,,88.7444869111214,26.1328365449553
A,,,,,,"-1","0","-1",,,,,88.9171260452657,26.0676627172514
G,,,,,,"-1","0","-1",,,,,88.8788096581163,26.1945945037702
G,,,,,,"-1","0","-1",,,,,88.7734931310557,26.2629339057208
S,,,,,,"-1","0","-1",,,,,89.0027048382335,26.3644911842296
H,,,,,,"-1","0","-1",,,,,89.0836624528188,26.3296389414104
H,,,,,,"-1","0","-1",,,,,89.001842472193,26.238775271615
H,,,,,,"-1","0","-1",,,,,89.0933502301758,26.1923369564383
G,,,,,,"-1","0","-1",,,,,89.0374253491498,26.1160018635612
F,,,,,,"-1","0","-1",,,,,89.204900883437,26.0912702136223
S,,,,,,"-1","0","-1",,,,,89.1179266709112,25.9761419846611
W,,,,,,"-1","0","-1",,,,,89.1120999870372,25.8305532044526
H,,,,,,"-1","0","-1",,,,,89.2592772505634,25.8874485212954
H,,,,,,"-1","0","-1",,,,,89.3572115535721,25.9997409182681
A,,,,,,"-1","0","-1",,,,,88.8887996893621,25.4073789512336
W,,,,,,"-1","0","-1",,,,,89.0965066145861,25.3881404858448
G,,,,,,"-1","0","-1",,,,,88.9887044536984,25.4849574852467
F,,,,,,"-1","0","-1",,,,,89.0229482409826,25.5992844888818
S,,,,,,"-1","0","-1",,,,,89.1472729861332,25.5123640458018
A,,,,,,"-1","0","-1",,,,,89.1289994656687,25.6370084609887
H,,,,,,"-1","0","-1",,,,,89.2122034340724,25.7302146887092
A,,,,,,"-1","0","-1",,,,,89.3140127866762,25.7828747413665
A,,,,,,"-1","0","-1",,,,,89.4576120834274,25.8883023292125
G,,,,,,"-1","0","-1",,,,,89.2993673963602,25.3105384836471
A,,,,,,"-1","0","-1",,,,,89.3940900533693,25.3833747196132
G,,,,,,"-1","0","-1",,,,,89.5397617480959,25.4181388005995
G,,,,,,"-1","0","-1",,,,,89.4757062621278,25.4814709036423
G,,,,,,"-1","0","-1",,,,,90.2076872876189,23.1886318410401
H,,,,,,"-1","0","-1",,,,,90.2722246022385,23.2940947343249
H,,,,,,"-1","0","-1",,,,,90.376988507008,23.1916246157601
G,,,,,,"-1","0","-1",,,,,90.4560984875425,23.0954303314565
W,,,,,,"-1","0","-1",,,,,90.572844061448,22.9919532381787
F,,,,,,"-1","0","-1",,,,,90.4267956895819,22.8054273037578
H,,,,,,"-1","0","-1",,,,,90.501307541717,22.893481685212
G,,,,,,"-1","0","-1",,,,,90.5974418445224,22.7614668822817
W,,,,,,"-1","0","-1",,,,,90.6514753966191,22.8839628522786
H,,,,,,"-1","0","-1",,,,,90.6413861559001,22.6137180704805
W,,,,,,"-1","0","-1",,,,,90.7387237980821,22.6578758123727
W,,,,,,"-1","0","-1",,,,,90.7658816728552,22.8021951073024
G,,,,,,"-1","0","-1",,,,,89.8425452440823,24.403947142953
S,,,,,,"-1","0","-1",,,,,89.8310094930456,24.5151608523774
H,,,,,,"-1","0","-1",,,,,90.546664684561,22.3014794602006
F,,,,,,"-1","0","-1",,,,,90.6726405690853,22.1925523682517
A,,,,,,"-1","0","-1",,,,,90.8125241403228,22.25609960505
G,,,,,,"-1","0","-1",,,,,90.708021196299,22.3759531949212
W,,,,,,"-1","0","-1",,,,,90.7788239127482,22.5090466995133
G,,,,,,"-1","0","-1",,,,,91.3814686311481,23.0004361760998
A,,,,,,"-1","0","-1",,,,,91.250458927565,23.0268432633343
H,,,,,,"-1","0","-1",,,,,91.2941672157489,23.133356169995
G,,,,,,"-1","0","-1",,,,,91.3241272201987,22.879081666243
A,,,,,,"-1","0","-1",,,,,91.4752341608508,22.8966426824767
W,,,,,,"-1","0","-1",,,,,91.5162657441575,23.0482567355066
G,,,,,,"-1","0","-1",,,,,91.6438215059285,22.9456978997068
G,,,,,,"-1","0","-1",,,,,91.6174783060776,22.837445285223
G,,,,,,"-1","0","-1",,,,,91.737214737762,22.9030905246079
H,,,,,,"-1","0","-1",,,,,91.8189002151569,22.9966757658003
H,,,,,,"-1","0","-1",,,,,89.4312653376579,25.7782387143527
A,,,,,,"-1","0","-1",,,,,89.3445004050899,25.6570262183019
A,,,,,,"-1","0","-1",,,,,89.2938868073132,25.5638626167142
F,,,,,,"-1","0","-1",,,,,89.2591010266848,25.4404030197482
H,,,,,,"-1","0","-1",,,,,89.4310636501627,25.5909875411739
S,,,,,,"-1","0","-1",,,,,89.5689077747116,25.5957972284509
